"Your account will be permanently deleted. Once you delete your account, there is no going back. Please be certain.","Váš účet bude natrvalo odstránený. Po odstránení účtu už nie je možné ho obnoviť. Prosím, buďte si istí."
Something wrong while deleting your account. Please contact the store owner.,Pri odstraňovaní vášho účtu sa vyskytla chyba. Kontaktujte prosím majiteľa obchodu.
Successfully deleted customer address,Adresa zákazníka bola úspešne odstránená
Gdpr is disabled.,GDPR je vypnuté.
The current customer isn't authorized.,Aktuálny zákazník nemá oprávnenie.
The Gdpr is disabled.,GDPR je vypnuté.
Not allow delete,Odstránenie nie je povolené
Flag not exit,Príznak neexistuje
Customer id %1 has been deleted,ID zákazníka %1 bol odstránený
Requested entity doesn't exist,Požadovaný objekt neexistuje
You will go to our homepage in 5 seconds.,Za 5 sekúnd budete presmerovaní na našu domovskú stránku.
Delete Account,Odstrániť účet
Delete your account,Odstrániť váš účet
Are you sure you want to delete your account?,"Ste si istí, že chcete odstrániť svoj účet?"
Delete Address,Odstrániť adresu
GDPR,GDPR
General Configuration,Všeobecná konfigurácia
Enable,Povoliť
Allow Deleting Customer Account,Povoliť odstránenie zákazníckeho účtu
Message of Deleting,Správa o odstraňovaní
The message will be shown on Delete Account area. HTML code is allowed.,Správa sa zobrazí v oblasti Odstrániť účet. HTML kód je povolený.
Allow Deleting Default Address,Povoliť odstránenie predvolenej adresy
Your account has been deleted.,Váš účet bol odstránený.
